name,url,rq1Inter,rq1Indep,rq1Open,SD,rq3rq4,legal,topics
Open Source Software Institute,http://www.ossinstitute.org/,Y,Y,N,N,N,United States 501(c)(6),"OSS-promotion,Project-sponsoring"
OpenBSD Foundation,http://openbsdfoundation.org/,Y,Y,Y,Y,Y,Canadian Nonprofit,"Event-organization,Project-sponsoring,Community-coordination,Software-Development"
Open Education Consortium,http://www.oeconsortium.org/about-oec/,Y,Y,Y,N,N,Unknown,"Event-organization,Training"
OpenDoc Society,http://www.opendocsociety.org/,Y,Y,Y,N,N,Dutch Stichting,"OSS-promotion,Event-organization,Training,Community-coordination"
OpenID Foundation,http://openid.net/foundation/,Y,Y,N,N,N,United States 501(c)(3),"Legal-support,Standard-leaders,Community-coordination"
OpenSourceMatters,http://www.opensourcematters.org/,Y,Y,Y,Y,Y,Unknown,"Event-organization,Project-sponsoring,Community-coordination,Software-Development"
OpenStack Foundation,https://www.openstack.org/foundation/,Y,Y,Y,Y,Y,United States 501(c)(6),"Event-organization,Project-sponsoring,Training,Community-coordination,Software-Development"
OpenStreetMap Foundation,https://wiki.osmfoundation.org/wiki/Main_Page,Y,Y,Y,Y,Y,UK-registered not-for-profit organization,"Project-sponsoring,Legal-support,Community-coordination,Software-Development"
Oregon State University Open Source Lab Alliance,http://osuosl.org/,Y,Y,N,Y,N,United States 501(c)(3),"OSS-promotion,Event-organization,Project-sponsoring,Software-Development"
Parrot Foundation,http://www.parrot.org/foundation/,Y,Y,Y,Y,Y,United States 501(c)(3),"OSS-promotion,Project-sponsoring,Community-coordination,Software-Development"
Participatory Culture Foundation,http://pculture.org/,Y,Y,N,N,N,United States 501(c)(3),"Project-sponsoring,Community-coordination"
Peer-Directed Projects Center (freenode),https://en.wikipedia.org/wiki/Freenode#Peer-Directed_Projects_Center,Y,Y,N,N,N,United States 501(c)(3),Community-coordination
Plone Foundation,http://plone.org/foundation,Y,Y,Y,Y,Y,United States 501(c)(3),"Event-organization,Project-sponsoring,Training,Community-coordination,Software-Development"
PostgreSQL Brasil,http://postgresql.org.br,N,Y,N,Y,N,Brazillian Non-Profit,"Event-organization,Project-sponsoring,Community-coordination,Software-Development"
PostgreSQL Europe,http://postgresql.eu,N,Y,Y,Y,N,French 1901 Non-profit Association,"Event-organization,Project-sponsoring,Community-coordination,Software-Development"
PostgreSQL.US,http://postgresql.us,N,Y,Y,Y,N,United States 501(c)(3) -- PENDING,"Event-organization,Project-sponsoring,Community-coordination,Software-Development"
PostgreSQLFr.org,http://asso.postgresql.fr,N,Y,Y,Y,N,French 1901 Non-profit Association,"Event-organization,Project-sponsoring,Community-coordination,Software-Development"
Public Software Fund,http://www.pubsoft.org/,Y,Y,N,Y,N,United States 501(c)(3),"Project-sponsoring,Software-Development"
Python Software Foundation,http://www.python.org/psf/,Y,Y,Y,Y,Y,United States 501(c)(3),"Event-organization,Project-sponsoring,Community-coordination,Software-Development"
Sahana Foundation,https://sahanafoundation.org/,Y,Y,Y,Y,Y,Unknown,"OSS-promotion,Project-sponsoring,Community-coordination,Software-Development"
Shuttleworth Foundation,http://www.shuttleworthfoundation.org/,Y,Y,N,N,N,South African Nonprofit,"OSS-promotion,Project-sponsoring"
Software Freedom Conservancy,http://sfconservancy.org/,Y,Y,Y,N,N,United States 501(c)(3),"OSS-promotion,Project-sponsoring,Legal-support"
Software Freedom Law Center,http://www.softwarefreedom.org/,Y,Y,N,N,N,United States 501(c)(3),"Training,Legal-support"
Software in the Public Interest,http://www.spi-inc.org/,Y,Y,Y,N,N,United States 501(c)(3),"OSS-promotion,Project-sponsoring"
Software Libre Argentina,http://solarargentina.org/,N,Y,Y,N,N,Unknown,"Event-organization,Training"
Software Libre Chile,http://www.softwarelibrechile.cl/,N,Y,N,N,N,Unknown,"Event-organization,Training"
Software Livre Brasil,http://www.softwarelivre.org/,N,Y,N,N,N,Brazillian NGO,"Event-organization,Training"
Subversion Corporation,http://subversion.org/,Y,N,Y,Y,N,United States 501(c)(6),"Project-sponsoring,Community-coordination,Software-Development"
Fintech Open Source Foundation,https://www.finos.org/,Y,Y,Y,Y,Y,Unknown,"Event-organization,Project-sponsoring,Community-coordination,Software-Development"
TeX Users Group,http://tug.org/,Y,Y,Y,N,N,United States 501(c)(3),"Training,Community-coordination"
The Open Planning Project,http://theopenplanningproject.org/,Y,N,N,Y,N,United States 501(c)(3),Software-Development
The Perl Foundation,http://perlfoundation.org/,Y,Y,Y,Y,Y,United States 501(c)(3),"Event-organization,Project-sponsoring,Community-coordination,Software-Development"
The Software Conservancy,http://www.tsc.org/,Y,Y,N,N,N,United States 501(c)(3),Event-organization
Twisted Software Foundation,http://twistedmatrix.com/trac/wiki/TwistedSoftwareFoundation,Y,N,N,Y,N,United States 501(c)(3),"Project-sponsoring,Community-coordination,Software-Development"
TYPO3 Association,http://association.typo3.org/,Y,Y,N,Y,N,Swiss nonprofit,"Project-sponsoring,Community-coordination,Software-Development"
Wikimedia Foundation,http://www.wikimediafoundation.org,Y,Y,Y,Y,Y,United States 501(c)(3),"OSS-promotion,Event-organization,Project-sponsoring,Legal-support,Community-coordination,Software-Development"
Wikiotics Foundation,https://wikiotics.org/en/Wikiotics_Foundation,Y,Y,N,Y,N,United States 501(c)(3),"Project-sponsoring,Community-coordination,Software-Development"
Wordpress Foundation,http://wordpressfoundation.org,Y,Y,N,Y,N,United States 501(c)(3),"Event-organization,Project-sponsoring,Training,Legal-support,Community-coordination,Software-Development"
X.Org Foundation LLC,http://www.x.org/wiki/XorgFoundation,Y,Y,Y,Y,Y,United States 501(c)(3) applicant,"Project-sponsoring,Community-coordination,Software-Development"
Xiph.org,http://xiph.org/,Y,Y,N,Y,N,United States 501(c)(3),"OSS-promotion,Project-sponsoring,Community-coordination,Software-Development"
XMPP Standards Foundation,https://xmpp.org/about/xmpp-standards-foundation.html,Y,Y,Y,N,N,United States 501(c)(3),Standard-leaders
Zope Foundation,http://foundation.zope.org/,Y,Y,N,Y,N,United States 501(c)(3),"Project-sponsoring,Community-coordination,Software-Development"
